                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.70722,                0.37097,                0.92103,                0.98855,                0.99231,                0.99334,                0.82904,                0.64058,                0.31214,                0.87648,             0.00027231,             0.00027231,             0.00027231
                     59,                0.70798,                0.36888,                0.91869,                0.99017,                0.99157,                0.99342,                0.83703,                0.61577,                0.30831,                0.87313,             0.00026613,             0.00026613,             0.00026613
                     60,                0.70511,                0.36606,                 0.9185,                0.98886,                0.99411,                0.99361,                0.83343,                 0.6222,                0.31197,                0.87351,             0.00025994,             0.00025994,             0.00025994
                     61,                0.70271,                0.36641,                0.91958,                0.99114,                 0.9925,                0.99387,                0.83867,                0.61913,                0.30725,                0.87435,             0.00025375,             0.00025375,             0.00025375
                     62,                0.69998,                0.36511,                0.91417,                0.99126,                0.99361,                0.99343,                0.82503,                0.65638,                0.31411,                0.87743,             0.00024756,             0.00024756,             0.00024756
                     63,                0.70283,                0.36672,                 0.9221,                0.99037,                0.99295,                0.99354,                0.83378,                0.62992,                0.30833,                0.87237,             0.00024137,             0.00024137,             0.00024137
                     64,                0.70107,                0.36549,                0.91812,                0.99394,                0.99193,                0.99334,                  0.832,                0.63318,                0.30522,                0.87323,             0.00023519,             0.00023519,             0.00023519
                     65,                0.69698,                0.36198,                0.91497,                 0.9911,                0.99244,                0.99342,                0.82708,                0.65254,                0.30982,                0.87732,               0.000229,               0.000229,               0.000229
                     66,                0.69641,                0.35952,                0.91473,                0.98811,                0.99297,                0.99386,                0.83604,                0.62524,                 0.3046,                0.87091,             0.00022281,             0.00022281,             0.00022281
                     67,                0.69851,                0.35836,                0.91575,                0.99216,                0.99395,                0.99377,                0.83471,                0.62915,                  0.304,                0.87212,             0.00021662,             0.00021662,             0.00021662
                     68,                0.69483,                0.35922,                0.91298,                0.99091,                0.99452,                0.99377,                0.83597,                0.62222,                0.30263,                0.86858,             0.00021044,             0.00021044,             0.00021044
                     69,                0.69208,                0.35668,                0.91378,                0.99067,                0.99417,                 0.9938,                 0.8402,                 0.6109,                0.30008,                0.86725,             0.00020425,             0.00020425,             0.00020425
                     70,                 0.6903,                0.35488,                 0.9106,                0.99143,                0.99263,                0.99343,                0.84266,                0.60276,                0.29881,                0.86607,             0.00019806,             0.00019806,             0.00019806
                     71,                0.68509,                0.35205,                0.91206,                0.98852,                0.99164,                0.99345,                0.83969,                0.61224,                0.29759,                0.86652,             0.00019188,             0.00019188,             0.00019188
                     72,                0.69247,                0.35679,                0.91333,                0.98964,                  0.993,                 0.9936,                0.84062,                0.61575,                0.30042,                0.87007,             0.00018569,             0.00018569,             0.00018569
                     73,                0.68776,                0.35344,                0.91114,                0.99195,                 0.9935,                 0.9937,                0.83494,                0.61984,                0.29976,                0.86835,              0.0001795,              0.0001795,              0.0001795
                     74,                0.68318,                0.35061,                0.90986,                0.98782,                 0.9937,                 0.9934,                0.84027,                0.61037,                0.29523,                0.86559,             0.00017331,             0.00017331,             0.00017331
                     75,                0.68391,                0.34943,                0.91135,                0.99191,                0.99314,                0.99376,                 0.8433,                0.60372,                0.29767,                0.86494,             0.00016713,             0.00016713,             0.00016713
                     76,                0.68362,                0.34902,                0.91177,                0.99032,                 0.9932,                0.99342,                0.84473,                0.59794,                0.29504,                0.86322,             0.00016094,             0.00016094,             0.00016094
                     77,                0.68194,                0.34861,                0.91227,                0.98952,                0.99388,                0.99375,                0.84329,                0.60146,                0.29223,                0.86228,             0.00015475,             0.00015475,             0.00015475
                     78,                0.67891,                0.34748,                0.90791,                 0.9901,                0.99473,                0.99361,                0.83592,                0.62955,                0.29504,                0.86915,             0.00014856,             0.00014856,             0.00014856
                     79,                0.67801,                0.34642,                0.90866,                0.99155,                0.99519,                0.99391,                0.84155,                0.61159,                0.29383,                0.86655,             0.00014237,             0.00014237,             0.00014237
                     80,                0.67187,                0.34446,                0.90688,                0.99243,                0.99393,                0.99384,                0.84451,                0.60275,                0.29169,                0.86538,             0.00013619,             0.00013619,             0.00013619
                     81,                0.67415,                0.34387,                0.90472,                0.99154,                0.99467,                0.99364,                0.83905,                0.61619,                0.29161,                0.86607,                0.00013,                0.00013,                0.00013
                     82,                0.67117,                0.34472,                0.90632,                0.99344,                0.99227,                0.99384,                0.84282,                0.60979,                0.29147,                0.86512,             0.00012381,             0.00012381,             0.00012381
                     83,                0.67304,                0.34162,                0.90797,                0.99149,                0.99392,                  0.994,                0.84438,                0.59799,                0.28741,                0.86272,             0.00011763,             0.00011763,             0.00011763
                     84,                0.67139,                0.34242,                 0.9079,                 0.9928,                0.99333,                0.99353,                 0.8451,                0.59248,                0.29018,                0.86169,             0.00011144,             0.00011144,             0.00011144
                     85,                0.66936,                0.34227,                0.90744,                0.99153,                0.99333,                0.99399,                 0.8463,                0.59403,                0.28778,                0.86069,             0.00010525,             0.00010525,             0.00010525
                     86,                 0.6631,                0.33903,                 0.9034,                0.99088,                0.99314,                0.99385,                 0.8458,                0.59715,                0.28919,                 0.8622,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     87,                 0.6689,                 0.3407,                0.90819,                0.99304,                  0.994,                 0.9936,                 0.8462,                0.59048,                0.28702,                0.86082,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     88,                0.66675,                0.33845,                0.90339,                0.99216,                0.99455,                0.99373,                 0.8434,                0.60027,                0.28688,                0.86331,             8.6688e-05,             8.6688e-05,             8.6688e-05
                     89,                0.66531,                0.33898,                0.90496,                0.99241,                0.99413,                0.99371,                0.84449,                0.59698,                 0.2882,                0.86256,               8.05e-05,               8.05e-05,               8.05e-05
                     90,                0.66816,                0.33905,                0.90447,                 0.9923,                  0.995,                0.99393,                0.84613,                0.59564,                0.28642,                0.86093,             7.4312e-05,             7.4312e-05,             7.4312e-05
                     91,                0.64563,                0.31702,                0.88475,                0.99181,                0.99337,                0.99362,                0.84471,                0.59654,                0.28906,                0.86017,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     92,                0.64003,                0.31041,                0.88203,                0.99263,                0.99533,                0.99378,                0.84004,                0.61442,                0.28993,                0.86381,             6.1937e-05,             6.1937e-05,             6.1937e-05
                     93,                0.63623,                0.30905,                0.88293,                0.99352,                0.99233,                0.99388,                0.84827,                0.59406,                0.28614,                0.85928,              5.575e-05,              5.575e-05,              5.575e-05
                     94,                0.63277,                0.30703,                0.88032,                0.99155,                  0.994,                  0.994,                0.84309,                  0.606,                0.28627,                0.86022,             4.9562e-05,             4.9562e-05,             4.9562e-05
                     95,                0.63296,                0.30645,                0.88274,                0.99332,                0.99431,                 0.9939,                0.84584,                  0.597,                0.28403,                0.85904,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     96,                0.63287,                0.30561,                0.88143,                0.99214,                0.99433,                0.99396,                0.84608,                0.59685,                0.28341,                0.85948,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     97,                0.62752,                0.30251,                0.87556,                0.99187,                0.99431,                0.99406,                0.84682,                0.58996,                 0.2829,                0.85838,                3.1e-05,                3.1e-05,                3.1e-05
                     98,                0.62854,                0.30264,                0.88002,                0.99272,                0.99281,                0.99401,                 0.8477,                0.59143,                0.28313,                0.85836,             2.4813e-05,             2.4813e-05,             2.4813e-05
                     99,                0.62388,                0.30112,                0.87374,                0.99255,                0.99343,                0.99381,                0.84767,                0.59615,                0.28248,                0.85851,             1.8625e-05,             1.8625e-05,             1.8625e-05
                    100,                0.62337,                0.30042,                0.87639,                0.99309,                  0.993,                0.99384,                0.84648,                0.59665,                0.28226,                0.85869,             1.2438e-05,             1.2438e-05,             1.2438e-05
